row_id,X,Y,Presence,Week,WeekStart,ObsDate,Source,Precip_T45,Precip,Temp,SoilTemp_T30,SoilTemp_T15,Moisture_T30,Moisture_T15,RVI_T45,RVI_T30,RVI_T0,RVI_Phenology_Delta
323,38.25618374154215,5.300855924353787,0,5,2020-03-17,,synthetic_background,0.000840798,0.002568125,295.0194771,297.1279086,297.3638659,-6.901426429,-5.216548219,0.8411872997944516,0.6780353850460079,0.5099141820642965,-0.1631519147484437
324,38.53020252278792,1.7699907074275654,0,5,2020-03-17,,synthetic_background,0.004043937,0.043438225,300.4921334,302.7472337,302.9271743,-5.528040349,-7.173923913,0.7100786124366911,0.8911365710609926,0.8479550668095134,0.18105795862430152
325,36.66949771678535,4.614464236027619,0,5,2020-03-17,,synthetic_background,0.001592249,0.004557609,301.7881457,306.3726515,305.1479316,-5.394691084,-5.483430837,0.9944017670025952,0.8982311709440074,0.9330053853219942,-0.0961705960585878
326,37.97482751958754,0.5299830662984979,0,5,2020-03-17,,synthetic_background,0.034482971,0.058802947,295.2208769,296.4303609,296.2401517,-7.538184089,-5.167359331,0.8495866663048182,0.6001284206198207,0.6447332187288682,-0.24945824568499742
327,36.49312034044302,2.234033585810069,0,5,2020-03-17,,synthetic_background,0.001068652,0.013916089,303.7448081,308.6781202,307.9711955,-8.565491713,-9.991185225,0.4330485159471386,0.4891499949378121,0.4707694735689419,0.05610147899067347
328,37.29999817693134,3.790084322277304,0,5,2020-03-17,,synthetic_background,0.000255615,0.057163461,301.2953072,305.3113559,304.744378,-8.672812814,-9.132032025,0.5744680117363448,0.4780873401128094,0.4169785972791083,-0.09638067162353536
329,36.50841098118219,2.295390389329503,0,5,2020-03-17,,synthetic_background,0.000613719,0.014754757,301.8819934,307.9149312,307.7411065,-9.315329961,-8.481932697,0.4842790619655635,0.4343771943614329,0.526884730940348,-0.04990186760413057
330,37.940755796778085,1.6424329112154878,0,5,2020-03-17,,synthetic_background,0.005912691,0.02718988,300.0607966,303.1526211,303.2856866,-7.396252329,-7.584113253,0.7518794314711574,0.6335546624165458,0.9226511584573108,-0.11832476905461164
331,36.857064520450535,5.696159585892191,0,5,2020-03-17,,synthetic_background,0.00079228,0.000912621,298.0351835,299.5202914,299.3397936,-5.723152404,-4.133442943,0.8909761621990074,0.8467872423909306,1.0449075424255858,-0.04418891980807682
332,38.86404842175942,3.695323234731398,0,5,2020-03-17,,synthetic_background,0.001356885,0.022438257,295.6543187,297.8544603,298.6086847,-6.916542566,-5.569220247,0.8352158833258505,0.676077693941321,0.8456186515582077,-0.1591381893845295
333,36.56434698235843,1.891391059944436,0,5,2020-03-17,,synthetic_background,0.003914833,0.028643771,298.9147299,303.5710944,303.5712715,-6.94518461,-7.69655117,0.7762324256839483,0.6822247702395594,0.6509642593577258,-0.09400765544438894
334,38.76351006563145,2.771016371630191,0,5,2020-03-17,,synthetic_background,0.001055017,0.021260946,300.3392417,303.0567932,303.6221829,-5.626433692,-5.842349435,0.7613923346608622,0.8598884454541429,0.7409300731216764,0.09849611079328069
335,37.57060683514055,1.5068362539466107,0,5,2020-03-17,,synthetic_background,0.00670816,0.018244981,298.760547,302.6270243,302.7669637,-5.247735897,-6.263364231,0.8257119814206664,0.920135551924366,0.8487555396975508,0.09442357050369965
336,38.56963949218197,1.26394973247278,0,5,2020-03-17,,synthetic_background,0.003053054,0.028028324,300.9789661,303.7711758,304.3978557,-6.488269905,-7.854479013,0.6964155725521316,0.73434112210249,0.5377822387192557,0.03792554955035843
337,36.37879633091356,1.2552358392806722,0,5,2020-03-17,,synthetic_background,0.005888432,0.016176536,299.1748102,301.0691521,300.7905749,-6.752624979,-6.823818955,0.8061557680541153,0.6976519534244194,0.6722294161600708,-0.10850381462969583
338,38.652608618310026,4.734149918836739,0,5,2020-03-17,,synthetic_background,0.001703411,0.009000539,295.8951661,298.1421447,299.6706638,-6.228692489,-6.038306425,0.7436002467069165,0.7697746030871077,0.7904477890008275,0.026174356380191166
339,38.60610000775876,0.8211758249701575,0,5,2020-03-17,,synthetic_background,0.006030798,0.030271187,300.4017796,303.2949442,303.7947632,-5.614738713,-5.376221445,0.8280122182920376,0.8618032758966022,0.7825611096564109,0.03379105760456458
340,36.04265554929093,3.0563988540115816,0,5,2020-03-17,,synthetic_background,0.003984183,0.005309983,303.0441733,307.0708991,306.5187161,-6.703095706,-7.484279804,0.6495886582462168,0.70499019386012,0.8411475513797853,0.05540153561390315
341,37.2726649731186,2.793283094486833,0,5,2020-03-17,,synthetic_background,0.001196459,0.02391456,302.0681045,305.5733676,307.099174,-6.323984243,-6.499114979,0.6774593509167798,0.7562267898035929,0.8705275827844925,0.07876743888681315
342,37.966666667,0.133333333000053,1,6,2020-03-24,2020-03-30,fao_swarm,0.037356213,0.064659386,296.7197104,297.3180074,297.0848837,-6.125571679,-5.766312136,0.8722029377152841,0.7953466670343654,0.7354575093765562,-0.07685627068091871
343,36.8705555560001,2.35222222200002,1,6,2020-03-24,2020-03-30,fao_swarm,0.002260104,0.042067169,300.5326824,304.8396219,305.3637248,-8.321515191,-9.216500031,0.5236174395772752,0.5160536065381764,0.5693655764644342,-0.0075638330390987996
344,36.6333333330001,1.26666666700004,1,6,2020-03-24,2020-03-30,fao_swarm,0.009680912,0.031333565,291.5925728,293.7117682,293.4193726,-5.522136865,-5.288341841,0.8639547961458759,0.8760272666324628,0.8231103098007784,0.012072470486586884
345,37.516666667,0.55,1,6,2020-03-24,2020-03-30,fao_swarm,0.012129545,0.01757349,297.1772842,299.8509392,300.0301799,-5.245265899,-4.546609283,1.0292860134806945,0.9218887148667616,0.9472132405324216,-0.10739729861393288
346,36.533333333,0.25,1,6,2020-03-24,2020-03-30,fao_swarm,0.047432348,0.030018776,291.2080839,292.4648824,292.5599271,-4.29727664,-6.816196615,0.8551867941678931,1.0842246915560767,0.9697108226219234,0.2290378973881836
347,36.55,0.183333333000064,1,6,2020-03-24,2020-03-30,fao_swarm,0.034546599,0.014371424,290.5053061,291.7524149,291.9614733,-6.135862149,-4.562395767,0.7520003955323109,0.7833303108987266,0.7078064370528722,0.03132991536641572
348,37.0458333330001,5.32166666700004,1,6,2020-03-24,2020-03-24,fao_swarm,0.002385721,0.025400146,301.0600858,299.1665208,299.4991632,-6.153152204,-6.560405708,0.847354518054654,0.7807563214102465,0.8458672073313955,-0.06659819664440747
349,36.3666666670001,0.166666667000072,1,6,2020-03-24,2020-03-27,fao_swarm,0.065543071,0.042802318,289.8871529,291.9358839,292.1629707,-4.521810925,-3.88825342,1.0853431427272426,1.0436853066821217,1.303930366095981,-0.041657836045120966
